year,institution,patient_status,sex,value,footnote_marker
1874,Bergen,Idiotismus - congenitus,Kv.,NA,NA
1874,Bergen,Idiotismus - congenitus,Md.,NA,NA
1874,Bergen,Mania,Kv.,8,NA
1874,Bergen,Mania,Md.,3,NA
1874,Bergen,Melancholia,Kv.,9,NA
1874,Bergen,Melancholia,Md.,5,NA
1874,Bergen,Melancholia cum stupore,Kv.,NA,NA
1874,Bergen,Melancholia cum stupore,Md.,NA,NA
1874,Bergen,Monomania,Kv.,NA,NA
1874,Bergen,Monomania,Md.,NA,NA
1874,Bergen,Paralysis generalis,Kv.,NA,NA
1874,Bergen,Paralysis generalis,Md.,NA,NA
1874,Bergen,Til observasjon,Kv.,NA,NA
1874,Bergen,Til observasjon,Md.,NA,NA
1874,Gaustad,Delirium tremens,Kv.,NA,NA
1874,Gaustad,Delirium tremens,Md.,NA,NA
1874,Gaustad,Dementia,Kv.,32,NA
1874,Gaustad,Dementia,Md.,21,NA
1874,Gaustad,Epilepsia,Kv.,NA,NA
